day,n_posts,score_mean,score_std,score_var,score_median,score_std_roll
2026-02-05,19,0.3426105263157895,0.6496727260660956,0.4220746509941521,0.5431,
2026-02-06,16,0.2748875,0.8236987927432373,0.6784797011666667,0.8385,0.7366857594046665
2026-02-07,8,0.6734375,0.5255438650646993,0.2761963541071429,0.86585,0.6663051279580108
2026-02-08,4,0.8250500000000001,0.1232568186078699,0.015192243333333343,0.8457,0.5305430506204756
2026-02-09,10,0.56719,0.5259327849957002,0.2766052943333334,0.74285,0.5296209974955205
2026-02-10,9,0.4227,0.569767195879159,0.3246346575,0.7227,0.5136398914581332
2026-02-11,11,0.1767181818181818,0.8549426423078706,0.7309269216363636,0.6515,0.5198886613710598
2026-02-12,17,0.3108764705882353,0.7595818623833541,0.5769646056617647,0.6072,0.5666962608347907
2026-02-13,10,0.20326,0.791198336140257,0.6259948071111112,0.47705,0.7002845643412682
2026-02-14,7,0.7047714285714285,0.39889604207230783,0.1591180523809524,0.8577,0.6748772157565897
2026-02-15,4,0.168825,0.9819388520507103,0.9642039091666668,0.3071,0.7573115469909
2026-02-16,7,0.7627714285714287,0.23536043078850866,0.05539453238095238,0.8205,0.6333951046870275
2026-02-17,5,0.6242599999999999,0.4187142438465642,0.175321618,0.8122,0.5652215809796697
