day,n_posts,score_mean,score_std,score_var,score_median,score_std_roll
2026-02-05,25,0.425464,0.6119711702632187,0.3745087132333334,0.7359,
2026-02-06,23,0.3765391304347826,0.7529057430679249,0.5668670579446642,0.8594,0.6824384566655718
2026-02-07,18,0.49457222222222225,0.655142946059287,0.4292122797712418,0.8380000000000001,0.6733399531301435
2026-02-08,8,0.7502875,0.23400875708583463,0.054760098392857164,0.83165,0.5635071541190663
2026-02-09,10,0.56719,0.5259327849957001,0.2766052943333333,0.74285,0.5559922802943931
2026-02-10,13,0.5264846153846153,0.49640914215015863,0.24642203641025642,0.7391,0.532879874671781
2026-02-11,20,0.17148999999999998,0.7945522101357335,0.6313132146315789,0.3947,0.5412091680853428
2026-02-12,23,0.43767391304347825,0.7036030629535579,0.4950572701976284,0.8181,0.5509011914641969
2026-02-13,21,0.2925714285714286,0.79096094286814,0.6256192131428571,0.7449,0.662291628620658
2026-02-14,11,0.5892272727272727,0.5402402522783897,0.29185953018181815,0.8205,0.6651531220771959
2026-02-15,7,0.49724285714285715,0.8071352568542295,0.6514673228571429,0.9738,0.7272983450180102
2026-02-16,12,0.665925,0.4984867411841198,0.24848903113636361,0.8274,0.6680852512276874
2026-02-17,9,0.3682333333333333,0.6787304877490034,0.46067507499999993,0.6767,0.6631107361867764
