day,n_posts,score_mean,score_std,score_var,score_median,score_std_roll
2026-01-26,1,0.9994,,,0.9994,
2026-02-01,1,0.3919,,,0.3919,
2026-02-03,1,-0.9732,,,-0.9732,
2026-02-06,1,0.9478,,,0.9478,
2026-02-07,2,0.8262,0.15994755390439713,0.025583220000000028,0.8262,
2026-02-09,2,0.92675,0.08662058069535207,0.007503124999999999,0.92675,0.1232840672998746
2026-02-10,3,0.38903333333333334,0.8651528439144921,0.7484894433333334,0.8306,0.3705736595047471
2026-02-11,2,-0.34725,0.8290827009412269,0.687378125,-0.34725,0.48520091986386704
2026-02-12,2,0.029899999999999982,1.2955610444899923,1.6784784199999998,0.029899999999999982,0.6472729447890921
2026-02-13,1,0.9965,,,0.9965,0.7691042925102658
2026-02-14,4,0.81135,0.28943375177519753,0.08377189666666666,0.93045,0.8198075852802272
2026-02-15,2,0.9874499999999999,0.016051323932934628,0.000257645,0.9874499999999999,0.6075322052848379
2026-02-16,3,0.4147666666666667,0.8584903862789223,0.7370057433333332,0.8252,0.6148841266192617
2026-02-17,1,0.9912,,,0.9912,0.38799182066235155
2026-02-19,1,-0.8158,,,-0.8158,0.38799182066235155
2026-02-20,4,0.735825,0.2100523803721348,0.04412200250000001,0.7408,0.3615313635279973
2026-02-21,1,0.9196,,,0.9196,0.5342713833255286
2026-02-22,1,0.9782,,,0.9782,
2026-02-23,3,0.8057,0.17493910369039847,0.03060368999999999,0.7817,0.19249574203126663
2026-02-24,2,0.49885,0.7054804355898185,0.49770264500000005,0.49885,0.3634906398841173
2026-02-25,1,-0.2824,,,-0.2824,0.4402097696401085
2026-02-26,2,-0.0036000000000000476,1.2317800128269658,1.517282,-0.0036000000000000476,0.7040665173690609
2026-02-27,3,0.5354,0.414564554683586,0.17186376999999997,0.4173,0.6316910266976922
2026-02-28,4,-0.271625,0.8463614963477486,0.7163277825000001,-0.55905,0.7995466248620297
2026-03-01,3,-0.11079999999999997,0.9657717949909285,0.93271516,-0.5304,0.8646194647123071
2026-03-02,5,-0.49592,0.6032095547983304,0.363861767,-0.8511,0.8123374827295118
2026-03-03,3,-0.7245666666666667,0.21843489495346965,0.047713803333333325,-0.7096,0.6096684591548126
2026-03-04,3,0.32303333333333334,1.1441350284530813,1.3090449633333334,0.9836,0.7555825539087117
2026-03-05,2,0.1043,1.2568115928809696,1.5795753799999999,0.1043,0.8376725732153559
